item_id,timestamp,target_value,backtestwindow_start_time,backtestwindow_end_time,p33,p50,p90,mean,p75
1,2021-11-26T19:15:00Z,273.415,2021-11-26T19:15:00,2021-12-02T00:00:00,295.27148313160615,310.469741759234,368.72294437676663,313.19816059739776,334.7125749930357
1,2021-11-26T19:30:00Z,309.258,2021-11-26T19:15:00,2021-12-02T00:00:00,323.7027031485309,340.2982810605759,399.9735582938551,341.005907007754,367.8553282196073
1,2021-11-26T19:45:00Z,321.346,2021-11-26T19:15:00,2021-12-02T00:00:00,331.1268427402776,346.72383747767327,415.3745769741537,349.96205867362585,370.5502407240002
1,2021-11-26T20:00:00Z,339.506,2021-11-26T19:15:00,2021-12-02T00:00:00,326.6046431738347,344.28858218888536,415.5612810568051,347.9407015785123,370.8000439667335
1,2021-11-26T20:15:00Z,291.45,2021-11-26T19:15:00,2021-12-02T00:00:00,299.62691219705147,319.8747707684437,391.52702190061217,324.08007312664733,353.95056807683375
1,2021-11-26T20:30:00Z,345.364,2021-11-26T19:15:00,2021-12-02T00:00:00,329.83706802589796,347.39375099545924,419.64478092256303,353.4566379924846,378.81186969140344
1,2021-11-26T20:45:00Z,344.639,2021-11-26T19:15:00,2021-12-02T00:00:00,339.23970085755906,357.1018222346155,434.47219805967734,361.70645214343824,388.25714375661477
1,2021-11-26T21:00:00Z,339.921,2021-11-26T19:15:00,2021-12-02T00:00:00,326.0199311390553,345.1131942287773,416.61491902743984,348.340158844428,380.3970791945783
1,2021-11-26T21:15:00Z,337.629,2021-11-26T19:15:00,2021-12-02T00:00:00,311.32418087943944,330.72996948237966,410.7267869934597,335.2433746372467,362.54627704158145
1,2021-11-26T21:30:00Z,391.923,2021-11-26T19:15:00,2021-12-02T00:00:00,337.3524089163434,355.819905450061,424.2462202846956,359.75509703477474,386.20949583384504
1,2021-11-26T21:45:00Z,384.212,2021-11-26T19:15:00,2021-12-02T00:00:00,345.58847935078495,360.88079443299364,440.68760410882504,366.8836396932153,391.84169118763583
1,2021-11-26T22:00:00Z,441.917,2021-11-26T19:15:00,2021-12-02T00:00:00,343.50452144563644,362.69683286270345,439.2111884532459,370.0217371490629,402.20568914761265
1,2021-11-26T22:15:00Z,440.938,2021-11-26T19:15:00,2021-12-02T00:00:00,321.5581119920923,341.05474364760414,412.6695942680938,345.08631458599496,371.269505774955
1,2021-11-26T22:30:00Z,427.448,2021-11-26T19:15:00,2021-12-02T00:00:00,346.23716249532237,368.2437060036122,459.3782831054162,374.9051885205423,417.8141711689849
1,2021-11-26T22:45:00Z,437.663,2021-11-26T19:15:00,2021-12-02T00:00:00,356.360606399853,375.57268196610624,465.09930719442866,383.5698947455142,415.30296750779473
1,2021-11-26T23:00:00Z,487.615,2021-11-26T19:15:00,2021-12-02T00:00:00,351.17969744512357,370.94203162462287,461.8671935648096,377.19653889787986,408.67438587903337
1,2021-11-26T23:15:00Z,451.143,2021-11-26T19:15:00,2021-12-02T00:00:00,334.24562237664776,353.34077580473206,436.8138445778976,357.58086332556434,391.82427678190334
1,2021-11-26T23:30:00Z,468.346,2021-11-26T19:15:00,2021-12-02T00:00:00,360.5092837384899,381.13760314977117,467.4456605099261,385.4340328259274,421.6187695403881
1,2021-11-26T23:45:00Z,475.814,2021-11-26T19:15:00,2021-12-02T00:00:00,370.26519036015435,393.89675096513946,481.3160444814719,396.27467591122627,431.887336679258
1,2021-11-27T00:00:00Z,479.648,2021-11-26T19:15:00,2021-12-02T00:00:00,374.9888259276171,402.66387554748553,496.53749554034556,404.27585520734186,446.445498599448
1,2021-11-27T00:15:00Z,420.525,2021-11-26T19:15:00,2021-12-02T00:00:00,365.75650187646596,393.3214000908619,486.64434173347,399.0964518479783,436.31797434897464
1,2021-11-27T00:30:00Z,456.197,2021-11-26T19:15:00,2021-12-02T00:00:00,411.4959805210645,442.5178388680232,539.7746020568683,446.47837028198853,493.7293565985071
1,2021-11-27T00:45:00Z,472.658,2021-11-26T19:15:00,2021-12-02T00:00:00,412.8938749769055,441.88319648766156,540.6517585496374,444.894411642018,480.3387666380264
1,2021-11-27T01:00:00Z,477.521,2021-11-26T19:15:00,2021-12-02T00:00:00,411.87383668691655,441.31237991808246,538.7820308275687,445.0230204985843,484.8165893483418
1,2021-11-27T01:15:00Z,347.605,2021-11-26T19:15:00,2021-12-02T00:00:00,393.2376698029353,422.99609844977397,513.1135993159926,423.2428607414181,462.991850414086
1,2021-11-27T01:30:00Z,431.76,2021-11-26T19:15:00,2021-12-02T00:00:00,405.45163228154047,435.52303458939434,528.3205802647086,437.3875322158091,483.9306255864457
1,2021-11-27T01:45:00Z,468.161,2021-11-26T19:15:00,2021-12-02T00:00:00,409.7570192950649,437.1688006355345,534.9807655293948,441.0838227033868,477.3920072415475
1,2021-11-27T02:00:00Z,485.312,2021-11-26T19:15:00,2021-12-02T00:00:00,391.9764211835178,419.1389870979343,508.9364497461528,422.1007045607583,464.02309516192133
